date,market,crop,price_per_kg
2023-08-24,lagos,maize,306.46
2023-08-25,lagos,maize,279.89
2023-08-26,lagos,maize,307.89
2023-08-27,lagos,maize,283.23
2023-08-28,lagos,maize,285.77
2023-08-29,lagos,maize,289.91
2023-08-30,lagos,maize,294.47
2023-08-31,lagos,maize,270.5
2023-09-01,lagos,maize,313.66
2023-09-02,lagos,maize,275.92
2023-09-03,lagos,maize,320.14
2023-09-04,lagos,maize,275.47
2023-09-05,lagos,maize,314.47
2023-09-06,lagos,maize,292.51
2023-09-07,lagos,maize,264.35
2023-09-08,lagos,maize,274.92
2023-09-09,lagos,maize,313.31
2023-09-10,lagos,maize,298.44
2023-09-11,lagos,maize,289.32
2023-09-12,lagos,maize,253.79
2023-09-13,lagos,maize,312.46
2023-09-14,lagos,maize,319.88
2023-09-15,lagos,maize,316.42
2023-09-16,lagos,maize,278.18
2023-09-17,lagos,maize,294.09
2023-09-18,lagos,maize,295.42
2023-09-19,lagos,maize,261.84
2023-09-20,lagos,maize,289.39
2023-09-21,lagos,maize,303.53
2023-09-22,lagos,maize,298.05
2023-09-23,lagos,maize,266.84
2023-09-24,lagos,maize,270.46
2023-09-25,lagos,maize,297.12
2023-09-26,lagos,maize,294.09
2023-09-27,lagos,maize,246.3
2023-09-28,lagos,maize,242.54
2023-09-29,lagos,maize,281.13
2023-09-30,lagos,maize,272.27
2023-10-01,lagos,maize,276.62
2023-10-02,lagos,maize,274.33
2023-10-03,lagos,maize,296.78
2023-10-04,lagos,maize,281.92
2023-10-05,lagos,maize,284.19
2023-10-06,lagos,maize,257.36
2023-10-07,lagos,maize,223.79
2023-10-08,lagos,maize,296.97
2023-10-09,lagos,maize,313.28
2023-10-10,lagos,maize,272.11
2023-10-11,lagos,maize,281.41
2023-10-12,lagos,maize,282.24
2023-10-13,lagos,maize,304.0
2023-10-14,lagos,maize,290.71
2023-10-15,lagos,maize,283.88
2023-10-16,lagos,maize,276.27
2023-10-17,lagos,maize,275.96
2023-10-18,lagos,maize,250.99
2023-10-19,lagos,maize,267.94
2023-10-20,lagos,maize,288.39
2023-10-21,lagos,maize,269.66
2023-10-22,lagos,maize,273.86
2023-10-23,lagos,maize,253.49
2023-10-24,lagos,maize,279.73
2023-10-25,lagos,maize,248.1
2023-10-26,lagos,maize,276.49
2023-10-27,lagos,maize,268.33
2023-10-28,lagos,maize,242.48
2023-10-29,lagos,maize,288.27
2023-10-30,lagos,maize,267.73
2023-10-31,lagos,maize,300.61
2023-11-01,lagos,maize,294.02
2023-11-02,lagos,maize,255.05
2023-11-03,lagos,maize,256.19
2023-11-04,lagos,maize,249.66
2023-11-05,lagos,maize,242.57
2023-11-06,lagos,maize,261.37
2023-11-07,lagos,maize,291.69
2023-11-08,lagos,maize,236.34
2023-11-09,lagos,maize,281.44
2023-11-10,lagos,maize,279.81
2023-11-11,lagos,maize,276.04
2023-11-12,lagos,maize,278.72
2023-11-13,lagos,maize,248.34
2023-11-14,lagos,maize,278.7
2023-11-15,lagos,maize,256.96
2023-11-16,lagos,maize,225.41
2023-11-17,lagos,maize,266.46
2023-11-18,lagos,maize,251.46
2023-11-19,lagos,maize,287.38
2023-11-20,lagos,maize,260.19
2023-11-21,lagos,maize,265.44
2023-11-22,lagos,maize,270.88
2023-11-23,lagos,maize,259.93
2023-11-24,lagos,maize,262.43
2023-11-25,lagos,maize,277.79
2023-11-26,lagos,maize,246.31
2023-11-27,lagos,maize,252.12
2023-11-28,lagos,maize,247.62
2023-11-29,lagos,maize,286.89
2023-11-30,lagos,maize,251.69
2023-12-01,lagos,maize,260.71
2023-12-02,lagos,maize,253.08
2023-12-03,lagos,maize,257.76
2023-12-04,lagos,maize,250.61
2023-12-05,lagos,maize,270.18
2023-12-06,lagos,maize,245.42
2023-12-07,lagos,maize,240.22
2023-12-08,lagos,maize,253.16
2023-12-09,lagos,maize,249.15
2023-12-10,lagos,maize,240.22
2023-12-11,lagos,maize,256.8
2023-12-12,lagos,maize,234.82
2023-12-13,lagos,maize,290.32
2023-12-14,lagos,maize,237.47
2023-12-15,lagos,maize,251.31
2023-12-16,lagos,maize,255.26
2023-12-17,lagos,maize,289.49
2023-12-18,lagos,maize,233.47
2023-12-19,lagos,maize,264.16
2023-12-20,lagos,maize,278.84
2023-12-21,lagos,maize,256.76
2023-12-22,lagos,maize,242.67
2023-12-23,lagos,maize,260.1
2023-12-24,lagos,maize,286.95
2023-12-25,lagos,maize,251.84
2023-12-26,lagos,maize,285.53
2023-12-27,lagos,maize,266.27
2023-12-28,lagos,maize,282.3
2023-12-29,lagos,maize,265.74
2023-12-30,lagos,maize,254.28
2023-12-31,lagos,maize,289.18
2024-01-01,lagos,maize,266.08
2024-01-02,lagos,maize,265.21
2024-01-03,lagos,maize,275.83
2024-01-04,lagos,maize,277.85
2024-01-05,lagos,maize,276.14
2024-01-06,lagos,maize,240.78
2024-01-07,lagos,maize,252.61
2024-01-08,lagos,maize,252.43
2024-01-09,lagos,maize,250.56
2024-01-10,lagos,maize,249.19
2024-01-11,lagos,maize,252.65
2024-01-12,lagos,maize,269.33
2024-01-13,lagos,maize,272.1
2024-01-14,lagos,maize,264.14
2024-01-15,lagos,maize,257.37
2024-01-16,lagos,maize,285.47
2024-01-17,lagos,maize,263.25
2024-01-18,lagos,maize,280.33
2024-01-19,lagos,maize,255.85
2024-01-20,lagos,maize,272.19
2024-01-21,lagos,maize,287.64
2024-01-22,lagos,maize,223.09
2024-01-23,lagos,maize,255.37
2024-01-24,lagos,maize,276.11
2024-01-25,lagos,maize,286.52
2024-01-26,lagos,maize,270.22
2024-01-27,lagos,maize,267.98
2024-01-28,lagos,maize,293.86
2024-01-29,lagos,maize,288.62
2024-01-30,lagos,maize,253.78
2024-01-31,lagos,maize,270.23
2024-02-01,lagos,maize,274.54
2024-02-02,lagos,maize,297.13
2024-02-03,lagos,maize,283.47
2024-02-04,lagos,maize,267.89
2024-02-05,lagos,maize,273.53
2024-02-06,lagos,maize,239.37
2024-02-07,lagos,maize,286.49
2024-02-08,lagos,maize,281.55
2024-02-09,lagos,maize,291.2
2024-02-10,lagos,maize,269.32
2024-02-11,lagos,maize,274.16
2024-02-12,lagos,maize,264.54
2024-02-13,lagos,maize,253.99
2024-02-14,lagos,maize,263.33
2024-02-15,lagos,maize,243.77
2024-02-16,lagos,maize,289.01
2024-02-17,lagos,maize,238.75
2024-02-18,lagos,maize,308.16
2024-02-19,lagos,maize,246.32
2024-02-20,lagos,maize,300.28
2024-02-21,lagos,maize,261.22
2024-02-22,lagos,maize,285.75
2024-02-23,lagos,maize,264.66
2024-02-24,lagos,maize,304.89
2024-02-25,lagos,maize,278.62
2024-02-26,lagos,maize,295.97
2024-02-27,lagos,maize,280.07
2024-02-28,lagos,maize,285.09
2024-02-29,lagos,maize,289.88
2024-03-01,lagos,maize,271.59
2024-03-02,lagos,maize,259.75
2024-03-03,lagos,maize,259.89
2024-03-04,lagos,maize,282.57
2024-03-05,lagos,maize,274.22
2024-03-06,lagos,maize,247.55
2024-03-07,lagos,maize,291.67
2024-03-08,lagos,maize,263.79
2024-03-09,lagos,maize,265.27
2024-03-10,lagos,maize,284.14
2024-03-11,lagos,maize,270.59
2024-03-12,lagos,maize,287.9
2024-03-13,lagos,maize,318.79
2024-03-14,lagos,maize,280.76
2024-03-15,lagos,maize,270.15
2024-03-16,lagos,maize,291.05
2024-03-17,lagos,maize,275.92
2024-03-18,lagos,maize,289.58
2024-03-19,lagos,maize,294.94
2024-03-20,lagos,maize,289.75
2024-03-21,lagos,maize,291.83
2024-03-22,lagos,maize,294.63
2024-03-23,lagos,maize,318.25
2024-03-24,lagos,maize,288.49
2024-03-25,lagos,maize,295.32
2024-03-26,lagos,maize,308.04
2024-03-27,lagos,maize,302.14
2024-03-28,lagos,maize,289.14
2024-03-29,lagos,maize,310.4
2024-03-30,lagos,maize,281.93
2024-03-31,lagos,maize,293.1
2024-04-01,lagos,maize,284.79
2024-04-02,lagos,maize,307.49
2024-04-03,lagos,maize,318.17
2024-04-04,lagos,maize,302.94
2024-04-05,lagos,maize,301.13
2024-04-06,lagos,maize,286.17
2024-04-07,lagos,maize,289.62
2024-04-08,lagos,maize,282.2
2024-04-09,lagos,maize,266.7
2024-04-10,lagos,maize,296.62
2024-04-11,lagos,maize,298.78
2024-04-12,lagos,maize,339.93
2024-04-13,lagos,maize,330.57
2024-04-14,lagos,maize,314.69
2024-04-15,lagos,maize,340.4
2024-04-16,lagos,maize,329.67
2024-04-17,lagos,maize,274.58
2024-04-18,lagos,maize,325.65
2024-04-19,lagos,maize,320.46
2024-04-20,lagos,maize,304.7
2024-04-21,lagos,maize,286.88
2024-04-22,lagos,maize,320.5
2024-04-23,lagos,maize,277.29
2024-04-24,lagos,maize,311.69
2024-04-25,lagos,maize,302.57
2024-04-26,lagos,maize,292.7
2024-04-27,lagos,maize,333.5
2024-04-28,lagos,maize,313.98
2024-04-29,lagos,maize,318.16
2024-04-30,lagos,maize,330.85
2024-05-01,lagos,maize,316.47
2024-05-02,lagos,maize,324.67
2024-05-03,lagos,maize,331.3
2024-05-04,lagos,maize,327.87
2024-05-05,lagos,maize,323.92
2024-05-06,lagos,maize,349.13
2024-05-07,lagos,maize,340.91
2024-05-08,lagos,maize,319.79
2024-05-09,lagos,maize,306.93
2024-05-10,lagos,maize,332.97
2024-05-11,lagos,maize,326.69
2024-05-12,lagos,maize,351.82
2024-05-13,lagos,maize,340.64
2024-05-14,lagos,maize,337.63
2024-05-15,lagos,maize,325.95
2024-05-16,lagos,maize,312.03
2024-05-17,lagos,maize,323.78
2024-05-18,lagos,maize,335.49
2024-05-19,lagos,maize,299.95
2024-05-20,lagos,maize,349.32
2024-05-21,lagos,maize,363.49
2024-05-22,lagos,maize,298.33
2024-05-23,lagos,maize,307.9
2024-05-24,lagos,maize,335.26
2024-05-25,lagos,maize,322.57
2024-05-26,lagos,maize,337.03
2024-05-27,lagos,maize,332.2
2024-05-28,lagos,maize,317.21
2024-05-29,lagos,maize,355.75
2024-05-30,lagos,maize,342.86
2024-05-31,lagos,maize,326.68
2024-06-01,lagos,maize,361.15
2024-06-02,lagos,maize,328.74
2024-06-03,lagos,maize,317.32
2024-06-04,lagos,maize,341.3
2024-06-05,lagos,maize,344.69
2024-06-06,lagos,maize,348.22
2024-06-07,lagos,maize,351.51
2024-06-08,lagos,maize,349.14
2024-06-09,lagos,maize,349.07
2024-06-10,lagos,maize,332.44
2024-06-11,lagos,maize,331.27
2024-06-12,lagos,maize,355.19
2024-06-13,lagos,maize,347.58
2024-06-14,lagos,maize,357.61
2024-06-15,lagos,maize,316.72
2024-06-16,lagos,maize,337.07
2024-06-17,lagos,maize,377.12
2024-06-18,lagos,maize,355.46
2024-06-19,lagos,maize,351.79
2024-06-20,lagos,maize,359.1
2024-06-21,lagos,maize,384.25
2024-06-22,lagos,maize,381.34
2024-06-23,lagos,maize,323.2
2024-06-24,lagos,maize,329.78
2024-06-25,lagos,maize,323.7
2024-06-26,lagos,maize,338.42
2024-06-27,lagos,maize,352.09
2024-06-28,lagos,maize,355.67
2024-06-29,lagos,maize,327.1
2024-06-30,lagos,maize,322.08
2024-07-01,lagos,maize,340.65
2024-07-02,lagos,maize,368.71
2024-07-03,lagos,maize,372.05
2024-07-04,lagos,maize,382.62
2024-07-05,lagos,maize,354.59
2024-07-06,lagos,maize,369.17
2024-07-07,lagos,maize,372.61
2024-07-08,lagos,maize,348.36
2024-07-09,lagos,maize,363.32
2024-07-10,lagos,maize,368.21
2024-07-11,lagos,maize,342.94
2024-07-12,lagos,maize,385.21
2024-07-13,lagos,maize,358.07
2024-07-14,lagos,maize,360.56
2024-07-15,lagos,maize,344.01
2024-07-16,lagos,maize,347.18
2024-07-17,lagos,maize,324.34
2024-07-18,lagos,maize,361.67
2024-07-19,lagos,maize,402.25
2024-07-20,lagos,maize,344.84
2024-07-21,lagos,maize,410.73
2024-07-22,lagos,maize,385.49
2024-07-23,lagos,maize,354.9
2024-07-24,lagos,maize,363.47
2024-07-25,lagos,maize,361.16
2024-07-26,lagos,maize,391.71
2024-07-27,lagos,maize,372.55
2024-07-28,lagos,maize,383.79
2024-07-29,lagos,maize,370.61
2024-07-30,lagos,maize,363.22
2024-07-31,lagos,maize,370.72
2024-08-01,lagos,maize,359.01
2024-08-02,lagos,maize,342.17
2024-08-03,lagos,maize,379.62
2024-08-04,lagos,maize,341.95
2024-08-05,lagos,maize,362.44
2024-08-06,lagos,maize,359.91
2024-08-07,lagos,maize,377.94
2024-08-08,lagos,maize,393.31
2024-08-09,lagos,maize,387.67
2024-08-10,lagos,maize,379.18
2024-08-11,lagos,maize,358.06
2024-08-12,lagos,maize,365.62
2024-08-13,lagos,maize,363.45
2024-08-14,lagos,maize,361.36
2024-08-15,lagos,maize,362.68
2024-08-16,lagos,maize,362.45
2024-08-17,lagos,maize,361.92
2024-08-18,lagos,maize,385.48
2024-08-19,lagos,maize,352.76
2024-08-20,lagos,maize,358.27
2024-08-21,lagos,maize,344.43
2024-08-22,lagos,maize,393.77
2024-08-23,lagos,maize,357.65
2024-08-24,lagos,maize,381.7
2024-08-25,lagos,maize,378.8
2024-08-26,lagos,maize,392.76
2024-08-27,lagos,maize,367.82
2024-08-28,lagos,maize,355.84
2024-08-29,lagos,maize,345.97
2024-08-30,lagos,maize,325.92
2024-08-31,lagos,maize,374.33
2024-09-01,lagos,maize,384.49
2024-09-02,lagos,maize,379.59
2024-09-03,lagos,maize,346.84
2024-09-04,lagos,maize,389.03
2024-09-05,lagos,maize,360.61
2024-09-06,lagos,maize,357.24
2024-09-07,lagos,maize,360.34
2024-09-08,lagos,maize,373.48
2024-09-09,lagos,maize,347.87
2024-09-10,lagos,maize,371.64
2024-09-11,lagos,maize,379.3
2024-09-12,lagos,maize,390.43
2024-09-13,lagos,maize,375.16
2024-09-14,lagos,maize,350.3
2024-09-15,lagos,maize,374.7
2024-09-16,lagos,maize,354.85
2024-09-17,lagos,maize,353.87
2024-09-18,lagos,maize,349.82
2024-09-19,lagos,maize,340.79
2024-09-20,lagos,maize,362.78
2024-09-21,lagos,maize,390.54
2024-09-22,lagos,maize,408.97
2024-09-23,lagos,maize,362.49
2024-09-24,lagos,maize,389.63
2024-09-25,lagos,maize,365.26
2024-09-26,lagos,maize,344.57
2024-09-27,lagos,maize,383.04
2024-09-28,lagos,maize,375.29
2024-09-29,lagos,maize,401.15
2024-09-30,lagos,maize,346.05
2024-10-01,lagos,maize,416.94
2024-10-02,lagos,maize,397.06
2024-10-03,lagos,maize,370.53
2024-10-04,lagos,maize,365.78
2024-10-05,lagos,maize,358.79
2024-10-06,lagos,maize,372.17
2024-10-07,lagos,maize,367.19
2024-10-08,lagos,maize,378.46
2024-10-09,lagos,maize,365.03
2024-10-10,lagos,maize,392.88
2024-10-11,lagos,maize,371.53
2024-10-12,lagos,maize,365.07
2024-10-13,lagos,maize,385.88
2024-10-14,lagos,maize,342.27
2024-10-15,lagos,maize,374.25
2024-10-16,lagos,maize,368.86
2024-10-17,lagos,maize,345.07
2024-10-18,lagos,maize,339.96
2024-10-19,lagos,maize,384.31
2024-10-20,lagos,maize,383.28
2024-10-21,lagos,maize,370.07
2024-10-22,lagos,maize,395.14
2024-10-23,lagos,maize,373.96
2024-10-24,lagos,maize,386.95
2024-10-25,lagos,maize,373.08
2024-10-26,lagos,maize,361.38
2024-10-27,lagos,maize,348.28
2024-10-28,lagos,maize,355.43
2024-10-29,lagos,maize,360.82
2024-10-30,lagos,maize,387.09
2024-10-31,lagos,maize,377.05
2024-11-01,lagos,maize,369.53
2024-11-02,lagos,maize,378.07
2024-11-03,lagos,maize,372.13
2024-11-04,lagos,maize,367.45
2024-11-05,lagos,maize,338.24
2024-11-06,lagos,maize,381.17
2024-11-07,lagos,maize,354.62
2024-11-08,lagos,maize,379.65
2024-11-09,lagos,maize,380.89
2024-11-10,lagos,maize,350.11
2024-11-11,lagos,maize,376.31
2024-11-12,lagos,maize,354.45
2024-11-13,lagos,maize,354.18
2024-11-14,lagos,maize,363.85
2024-11-15,lagos,maize,363.92
2024-11-16,lagos,maize,359.51
2024-11-17,lagos,maize,336.61
2024-11-18,lagos,maize,356.11
2024-11-19,lagos,maize,395.08
2024-11-20,lagos,maize,311.66
2024-11-21,lagos,maize,371.18
2024-11-22,lagos,maize,373.85
2024-11-23,lagos,maize,333.83
2024-11-24,lagos,maize,348.0
2024-11-25,lagos,maize,338.87
2024-11-26,lagos,maize,385.27
2024-11-27,lagos,maize,372.54
2024-11-28,lagos,maize,372.91
2024-11-29,lagos,maize,355.58
2024-11-30,lagos,maize,374.69
2024-12-01,lagos,maize,352.61
2024-12-02,lagos,maize,374.6
2024-12-03,lagos,maize,349.43
2024-12-04,lagos,maize,340.29
2024-12-05,lagos,maize,380.69
2024-12-06,lagos,maize,350.2
2024-12-07,lagos,maize,335.36
2024-12-08,lagos,maize,334.73
2024-12-09,lagos,maize,334.33
2024-12-10,lagos,maize,362.59
2024-12-11,lagos,maize,346.67
2024-12-12,lagos,maize,385.52
2024-12-13,lagos,maize,366.83
2024-12-14,lagos,maize,351.13
2024-12-15,lagos,maize,369.47
2024-12-16,lagos,maize,337.86
2024-12-17,lagos,maize,315.1
2024-12-18,lagos,maize,328.83
2024-12-19,lagos,maize,347.0
2024-12-20,lagos,maize,340.47
2024-12-21,lagos,maize,357.17
2024-12-22,lagos,maize,341.14
2024-12-23,lagos,maize,354.98
2024-12-24,lagos,maize,366.85
2024-12-25,lagos,maize,339.67
2024-12-26,lagos,maize,350.39
2024-12-27,lagos,maize,312.04
2024-12-28,lagos,maize,338.31
2024-12-29,lagos,maize,319.66
2024-12-30,lagos,maize,341.77
2024-12-31,lagos,maize,342.79
2023-01-01,ibadan,maize,242.66
2023-01-02,ibadan,maize,239.86
2023-01-03,ibadan,maize,221.65
2023-01-04,ibadan,maize,233.43
2023-01-05,ibadan,maize,259.21
2023-01-06,ibadan,maize,256.11
2023-01-07,ibadan,maize,256.99
2023-01-08,ibadan,maize,249.91
2023-01-09,ibadan,maize,257.62
2023-01-10,ibadan,maize,252.05
2023-01-11,ibadan,maize,246.66
2023-01-12,ibadan,maize,266.69
2023-01-13,ibadan,maize,246.68
2023-01-14,ibadan,maize,239.61
2023-01-15,ibadan,maize,269.11
2023-01-16,ibadan,maize,270.0
2023-01-17,ibadan,maize,229.58
2023-01-18,ibadan,maize,262.45
2023-01-19,ibadan,maize,223.86
2023-01-20,ibadan,maize,269.89
2023-01-21,ibadan,maize,241.21
2023-01-22,ibadan,maize,266.85
2023-01-23,ibadan,maize,246.99
2023-01-24,ibadan,maize,261.39
2023-01-25,ibadan,maize,236.93
2023-01-26,ibadan,maize,253.55
2023-01-27,ibadan,maize,257.33
2023-01-28,ibadan,maize,272.79
2023-01-29,ibadan,maize,285.5
2023-01-30,ibadan,maize,268.33
2023-01-31,ibadan,maize,264.75
2023-02-01,ibadan,maize,245.94
2023-02-02,ibadan,maize,240.78
2023-02-03,ibadan,maize,264.81
2023-02-04,ibadan,maize,264.55
2023-02-05,ibadan,maize,271.97
2023-02-06,ibadan,maize,273.92
2023-02-07,ibadan,maize,269.43
2023-02-08,ibadan,maize,243.27
2023-02-09,ibadan,maize,278.23
2023-02-10,ibadan,maize,264.18
2023-02-11,ibadan,maize,252.29
