date,market,crop,quantity_sold,selling_price
2023-07-13,lagos,maize,4802,349.5060321920681
2023-07-14,lagos,maize,4103,362.83494403299375
2023-07-15,lagos,maize,4245,366.75967469913144
2023-07-16,lagos,maize,3690,320.04923324336335
2023-07-17,lagos,maize,3391,321.44697453982246
2023-07-18,lagos,maize,4495,349.10611592026584
2023-07-19,lagos,maize,4578,363.5931831088887
2023-07-20,lagos,maize,3719,399.13379394835925
2023-07-21,lagos,maize,3650,324.85543571025715
2023-07-22,lagos,maize,3686,305.8547184023714
2023-07-23,lagos,maize,2850,332.8909830267542
2023-07-24,lagos,maize,4273,337.166728885029
2023-07-25,lagos,maize,3766,380.0934077805126
2023-07-26,lagos,maize,4868,409.6253104917303
2023-07-27,lagos,maize,4247,359.39582629617115
2023-07-28,lagos,maize,4128,391.51294104834
2023-07-29,lagos,maize,4625,337.3612089466488
2023-07-30,lagos,maize,4220,369.40568562735825
2023-07-31,lagos,maize,3038,351.02690052012696
2023-08-01,lagos,maize,4099,323.7668190616855
2023-08-02,lagos,maize,2160,338.0890222708811
2023-08-03,lagos,maize,2905,331.0355849135743
2023-08-04,lagos,maize,4133,318.88657576394223
2023-08-05,lagos,maize,3284,323.6556505826165
2023-08-06,lagos,maize,5103,366.42123073529854
2023-08-07,lagos,maize,4515,384.1892985773329
2023-08-08,lagos,maize,3725,351.3020849230488
2023-08-09,lagos,maize,3443,354.1065899734312
2023-08-10,lagos,maize,3566,339.96674134782586
2023-08-11,lagos,maize,3371,415.41553254595794
2023-08-12,lagos,maize,4994,363.0677168334551
2023-08-13,lagos,maize,4058,377.5891960982148
2023-08-14,lagos,maize,3983,347.8021004693209
2023-08-15,lagos,maize,2984,370.4984990103124
2023-08-16,lagos,maize,4234,340.5908779972068
2023-08-17,lagos,maize,5540,371.9070385231251
2023-08-18,lagos,maize,4553,375.35005956256475
2023-08-19,lagos,maize,4350,339.44262937550724
2023-08-20,lagos,maize,2772,353.16641693772885
2023-08-21,lagos,maize,4868,338.78307133971043
2023-08-22,lagos,maize,4642,356.7784201295187
2023-08-23,lagos,maize,3680,376.6454769105363
2023-08-24,lagos,maize,2811,322.65508463303337
2023-08-25,lagos,maize,2743,302.22198716405944
2023-08-26,lagos,maize,3538,362.01284797757575
2023-08-27,lagos,maize,3464,318.3985271947398
2023-08-28,lagos,maize,4271,320.07264936225505
2023-08-29,lagos,maize,4270,320.3508676596431
2023-08-30,lagos,maize,3677,342.8486724977222
2023-08-31,lagos,maize,3526,287.8865612030356
2023-09-01,lagos,maize,3211,336.09355616226117
2023-09-02,lagos,maize,3393,329.93341239646577
2023-09-03,lagos,maize,4221,343.21088960437885
2023-09-04,lagos,maize,4646,297.8383214486787
2023-09-05,lagos,maize,5723,360.53102512519337
2023-09-06,lagos,maize,4993,345.56578813218243
2023-09-07,lagos,maize,4389,297.79443615926556
2023-09-08,lagos,maize,5894,318.737062564659
2023-09-09,lagos,maize,3848,345.7142985056646
2023-09-10,lagos,maize,6125,357.6077333009984
2023-09-11,lagos,maize,4115,329.29153390179385
2023-09-12,lagos,maize,4359,297.6766198734947
2023-09-13,lagos,maize,2873,368.26865307844446
2023-09-14,lagos,maize,4172,351.9367586160443
2023-09-15,lagos,maize,4133,356.33182438227624
2023-09-16,lagos,maize,3423,307.5939786572379
2023-09-17,lagos,maize,4684,345.4596849672566
2023-09-18,lagos,maize,3234,323.49868829670953
2023-09-19,lagos,maize,4573,312.09971057395245
2023-09-20,lagos,maize,4689,311.59179133358214
2023-09-21,lagos,maize,3057,322.9584989837955
2023-09-22,lagos,maize,4928,324.03750751438565
2023-09-23,lagos,maize,2798,292.1965563356324
2023-09-24,lagos,maize,3534,302.11349266937646
2023-09-25,lagos,maize,4244,353.947224527791
2023-09-26,lagos,maize,2977,341.3592755471801
2023-09-27,lagos,maize,2399,287.39558068150353
2023-09-28,lagos,maize,4856,262.7011039921081
2023-09-29,lagos,maize,3894,328.57023075038705
2023-09-30,lagos,maize,4384,310.9811770670707
2023-10-01,lagos,maize,3616,294.51861188085473
2023-10-02,lagos,maize,4143,315.0507885212032
2023-10-03,lagos,maize,4729,324.2400162571027
2023-10-04,lagos,maize,4103,313.82433458211915
2023-10-05,lagos,maize,4854,321.1751293764653
2023-10-06,lagos,maize,4838,284.0319064053754
2023-10-07,lagos,maize,4874,247.91204257574702
2023-10-08,lagos,maize,4619,345.02406395713285
2023-10-09,lagos,maize,4090,347.29038099229825
2023-10-10,lagos,maize,4242,321.22550270930253
2023-10-11,lagos,maize,2331,295.8468638066243
2023-10-12,lagos,maize,3185,305.1747157224318
2023-10-13,lagos,maize,4833,319.7534926548442
2023-10-14,lagos,maize,4028,311.89873813215075
2023-10-15,lagos,maize,3424,330.38043345203283
2023-10-16,lagos,maize,3002,294.93039252645326
2023-10-17,lagos,maize,4813,324.165548116249
2023-10-18,lagos,maize,4934,285.78103129096525
2023-10-19,lagos,maize,4384,298.40666737931406
2023-10-20,lagos,maize,5452,330.49643777980066
2023-10-21,lagos,maize,5018,322.25900538537763
2023-10-22,lagos,maize,4349,295.2755775770678
2023-10-23,lagos,maize,3086,274.1477893523883
2023-10-24,lagos,maize,4485,300.38991708616066
2023-10-25,lagos,maize,4197,296.3231548387453
2023-10-26,lagos,maize,3233,296.6881816516274
2023-10-27,lagos,maize,2725,306.53359534247596
2023-10-28,lagos,maize,2995,271.92039603287304
2023-10-29,lagos,maize,5677,329.621288356963
2023-10-30,lagos,maize,2541,316.62209165645004
2023-10-31,lagos,maize,4968,345.7463144785972
2023-11-01,lagos,maize,3492,343.46878791941856
2023-11-02,lagos,maize,3169,271.80137976437646
2023-11-03,lagos,maize,3414,290.200159365378
2023-11-04,lagos,maize,5037,272.64962093000565
2023-11-05,lagos,maize,4101,280.45431093155645
2023-11-06,lagos,maize,4975,282.96585568859257
2023-11-07,lagos,maize,4381,317.9777468157355
2023-11-08,lagos,maize,4195,256.42984009728156
2023-11-09,lagos,maize,3762,318.1310061248079
2023-11-10,lagos,maize,3597,328.75085182607154
2023-11-11,lagos,maize,4635,309.69993248995894
2023-11-12,lagos,maize,2839,304.72091253014787
2023-11-13,lagos,maize,2977,284.58190368191714
2023-11-14,lagos,maize,4031,297.4702800590909
2023-11-15,lagos,maize,3373,308.28104640544547
2023-11-16,lagos,maize,4448,264.53010593774167
2023-11-17,lagos,maize,3295,290.1426059226532
2023-11-18,lagos,maize,2508,292.9677941331484
2023-11-19,lagos,maize,5098,302.54223581759857
2023-11-20,lagos,maize,3486,278.49258261802515
2023-11-21,lagos,maize,3341,302.64651214126707
2023-11-22,lagos,maize,3772,286.4894098276385
2023-11-23,lagos,maize,4322,281.35823199685825
2023-11-24,lagos,maize,4443,294.5957264888433
2023-11-25,lagos,maize,5378,308.4097736194221
2023-11-26,lagos,maize,3704,259.8423439812704
2023-11-27,lagos,maize,3790,301.57934663076304
2023-11-28,lagos,maize,2600,292.7298763666853
2023-11-29,lagos,maize,4459,341.5493789929818
2023-11-30,lagos,maize,3343,264.60645191622666
2023-12-01,lagos,maize,3740,300.34715680994543
2023-12-02,lagos,maize,5407,288.7233800033323
2023-12-03,lagos,maize,3458,287.4903468439999
2023-12-04,lagos,maize,4584,299.806530123746
2023-12-05,lagos,maize,3399,308.79017893586746
2023-12-06,lagos,maize,4867,259.52031466998767
2023-12-07,lagos,maize,4730,272.7731815929761
2023-12-08,lagos,maize,3218,283.65335691893995
2023-12-09,lagos,maize,3311,262.58502051153766
2023-12-10,lagos,maize,5293,268.1225123251364
2023-12-11,lagos,maize,3738,294.15055614133456
2023-12-12,lagos,maize,3950,272.6680913297958
2023-12-13,lagos,maize,3830,348.0293797194472
2023-12-14,lagos,maize,2507,269.873126293911
2023-12-15,lagos,maize,5006,270.66171089070195
2023-12-16,lagos,maize,2823,275.6521741203104
2023-12-17,lagos,maize,3955,317.46006260837487
2023-12-18,lagos,maize,4072,264.1868509024018
2023-12-19,lagos,maize,4138,279.10289407262314
2023-12-20,lagos,maize,4196,321.76865893134317
2023-12-21,lagos,maize,1264,296.2326789399189
2023-12-22,lagos,maize,4454,261.9464445983963
2023-12-23,lagos,maize,5000,281.55061073124455
2023-12-24,lagos,maize,2659,328.5796384680194
2023-12-25,lagos,maize,3966,292.67019829153384
2023-12-26,lagos,maize,3899,334.411787288634
2023-12-27,lagos,maize,4209,300.6917702606282
2023-12-28,lagos,maize,2685,314.2615562838248
2023-12-29,lagos,maize,4597,289.0863889960582
2023-12-30,lagos,maize,3202,301.7423436666276
2023-12-31,lagos,maize,4869,316.25054700032223
2024-01-01,lagos,maize,4066,311.5961432845985
2024-01-02,lagos,maize,4228,293.8637863288034
2024-01-03,lagos,maize,3669,309.0671049298246
2024-01-04,lagos,maize,4738,317.68374930788315
2024-01-05,lagos,maize,5399,300.50942781923305
2024-01-06,lagos,maize,4521,280.31316566540977
2024-01-07,lagos,maize,3588,278.00198267440294
2024-01-08,lagos,maize,4860,298.70658241486154
2024-01-09,lagos,maize,4361,263.30622251001296
2024-01-10,lagos,maize,3584,288.50140271750627
2024-01-11,lagos,maize,4871,279.3576832149285
2024-01-12,lagos,maize,5305,299.1580054486301
2024-01-13,lagos,maize,4945,306.6343332903871
2024-01-14,lagos,maize,3852,277.90092079955934
2024-01-15,lagos,maize,5411,270.7366729771876
2024-01-16,lagos,maize,4749,333.3693055131181
2024-01-17,lagos,maize,4348,288.66943192258583
2024-01-18,lagos,maize,2741,335.9397591685782
2024-01-19,lagos,maize,3863,278.64008625648455
2024-01-20,lagos,maize,5391,321.5659874253367
2024-01-21,lagos,maize,3356,304.2429698647607
2024-01-22,lagos,maize,4487,254.9354197986319
2024-01-23,lagos,maize,2594,270.82093604545645
2024-01-24,lagos,maize,4282,324.1929293573523
2024-01-25,lagos,maize,5653,310.39524641508035
2024-01-26,lagos,maize,4453,312.2609274033095
2024-01-27,lagos,maize,3528,313.2018940751408
2024-01-28,lagos,maize,3781,320.8326621418993
2024-01-29,lagos,maize,4155,314.31086579875523
2024-01-30,lagos,maize,3982,270.69661187049155
2024-01-31,lagos,maize,4597,295.4793956279204
2024-02-01,lagos,maize,3815,314.67806213511955
2024-02-02,lagos,maize,4662,324.3845725218833
2024-02-03,lagos,maize,4409,336.0909746397176
2024-02-04,lagos,maize,2914,286.6458048001327
2024-02-05,lagos,maize,3811,304.7190561502117
2024-02-06,lagos,maize,4508,264.4432369848006
2024-02-07,lagos,maize,2781,330.8359881434166
2024-02-08,lagos,maize,3537,327.6474682044848
2024-02-09,lagos,maize,3595,339.15890260009405
2024-02-10,lagos,maize,4823,308.5468090913484
2024-02-11,lagos,maize,3929,328.6757452494751
2024-02-12,lagos,maize,4431,307.1465755047424
2024-02-13,lagos,maize,6697,268.236302983022
2024-02-14,lagos,maize,3752,288.82552726226515
2024-02-15,lagos,maize,3927,262.78535141636684
2024-02-16,lagos,maize,4446,325.71450295765527
2024-02-17,lagos,maize,4014,271.96973370970255
2024-02-18,lagos,maize,3578,340.1020642146502
2024-02-19,lagos,maize,3574,291.08312062827196
2024-02-20,lagos,maize,4306,358.3291496538053
2024-02-21,lagos,maize,1476,283.6331634446589
2024-02-22,lagos,maize,4399,319.21096957464755
2024-02-23,lagos,maize,3558,299.80026568099515
2024-02-24,lagos,maize,3450,362.6803666091188
2024-02-25,lagos,maize,2782,310.9588236142215
2024-02-26,lagos,maize,4350,328.1005090506941
2024-02-27,lagos,maize,4011,299.3670913056739
2024-02-28,lagos,maize,3500,335.36180309365375
2024-02-29,lagos,maize,4953,345.944735096572
2024-03-01,lagos,maize,4135,323.59357618273015
2024-03-02,lagos,maize,4500,276.2491332501988
2024-03-03,lagos,maize,4533,279.88261139647267
2024-03-04,lagos,maize,3645,335.41155911061503
2024-03-05,lagos,maize,3147,307.5182657364718
2024-03-06,lagos,maize,3813,268.3390749188916
2024-03-07,lagos,maize,4472,327.91887923873725
2024-03-08,lagos,maize,2825,290.67140821889126
2024-03-09,lagos,maize,5249,287.2101879707699
2024-03-10,lagos,maize,4734,314.11138008925354
2024-03-11,lagos,maize,3045,287.356718687894
2024-03-12,lagos,maize,3726,342.2196374329799
2024-03-13,lagos,maize,3223,352.8541585665184
2024-03-14,lagos,maize,3901,322.9645841520384
2024-03-15,lagos,maize,3473,307.71149937843927
2024-03-16,lagos,maize,4764,333.13398360202575
2024-03-17,lagos,maize,3101,296.8418948338934
2024-03-18,lagos,maize,4136,332.70303277920016
2024-03-19,lagos,maize,3020,352.2428861848028
2024-03-20,lagos,maize,5182,309.3017829791514
2024-03-21,lagos,maize,3651,345.36369036622875
2024-03-22,lagos,maize,5109,315.65668098090754
2024-03-23,lagos,maize,5144,336.05212828824256
2024-03-24,lagos,maize,3461,308.40894276369295
2024-03-25,lagos,maize,4283,318.3918814828787
2024-03-26,lagos,maize,4196,342.9411540590399
2024-03-27,lagos,maize,3368,329.3067410040931
2024-03-28,lagos,maize,4944,343.8053608761475
2024-03-29,lagos,maize,3837,348.61688929506425
2024-03-30,lagos,maize,2722,317.74640321237445
2024-03-31,lagos,maize,4351,340.64607851890753
2024-04-01,lagos,maize,2461,323.89313426192945
2024-04-02,lagos,maize,3938,366.52758944056325
2024-04-03,lagos,maize,4217,347.26074282376345
2024-04-04,lagos,maize,4314,329.0637055674205
2024-04-05,lagos,maize,3704,343.541659953518
2024-04-06,lagos,maize,4314,319.3197872932705
2024-04-07,lagos,maize,2061,343.197534224116
2024-04-08,lagos,maize,2634,299.9966996404046
2024-04-09,lagos,maize,4442,317.75480027187535
2024-04-10,lagos,maize,4374,331.5885297950436
2024-04-11,lagos,maize,4454,334.2654011985586
2024-04-12,lagos,maize,4000,382.60218486282287
2024-04-13,lagos,maize,3893,368.57172647636946
2024-04-14,lagos,maize,3961,361.34710269158455
2024-04-15,lagos,maize,3971,384.009258152379
2024-04-16,lagos,maize,5138,393.7122062518688
2024-04-17,lagos,maize,4769,311.98230923050374
2024-04-18,lagos,maize,3365,376.16475285095623
2024-04-19,lagos,maize,2699,362.73472840442224
2024-04-20,lagos,maize,3515,337.0716850940477
2024-04-21,lagos,maize,4450,321.69998519609555
2024-04-22,lagos,maize,3631,377.25970425775245
2024-04-23,lagos,maize,6098,332.55168871709196
2024-04-24,lagos,maize,3040,371.76065217738585
2024-04-25,lagos,maize,4513,335.41715730933896
2024-04-26,lagos,maize,3682,310.46317583795576
2024-04-27,lagos,maize,4293,398.9150421924394
2024-04-28,lagos,maize,4046,335.6351399153178
2024-04-29,lagos,maize,4542,351.6659760867283
2024-04-30,lagos,maize,4485,380.0769323544309
2024-05-01,lagos,maize,2754,368.4310960618908
2024-05-02,lagos,maize,3945,353.6996882468185
2024-05-03,lagos,maize,3145,383.6091874417797
2024-05-04,lagos,maize,3560,366.82377832941484
2024-05-05,lagos,maize,5686,347.75711637485364
2024-05-06,lagos,maize,3086,413.62237012275614
2024-05-07,lagos,maize,2243,364.4340143222804
2024-05-08,lagos,maize,3540,343.8360112521983
2024-05-09,lagos,maize,3932,355.52548655534065
2024-05-10,lagos,maize,4652,353.6399294917068
2024-05-11,lagos,maize,4515,357.7237589652712
2024-05-12,lagos,maize,4175,399.97398164415034
2024-05-13,lagos,maize,4091,360.8565838698168
2024-05-14,lagos,maize,4183,373.69245345443125
2024-05-15,lagos,maize,4368,343.21343632471707
2024-05-16,lagos,maize,4098,347.433892802327
2024-05-17,lagos,maize,3768,347.8313573499594
2024-05-18,lagos,maize,3387,368.81055278102895
2024-05-19,lagos,maize,3690,336.25886157717133
2024-05-20,lagos,maize,4291,415.07511305850346
2024-05-21,lagos,maize,3936,404.211521114332
2024-05-22,lagos,maize,4115,352.53314268563526
2024-05-23,lagos,maize,4370,360.25485473367604
2024-05-24,lagos,maize,4296,363.84398288094997
2024-05-25,lagos,maize,2342,360.9418450638585
2024-05-26,lagos,maize,4849,361.66468387570904
2024-05-27,lagos,maize,4663,393.53533556462753
2024-05-28,lagos,maize,3658,362.10249896154687
2024-05-29,lagos,maize,5478,406.0274315649823
2024-05-30,lagos,maize,3987,410.5924219014617
2024-05-31,lagos,maize,3822,388.00962109299667
2024-06-01,lagos,maize,2923,428.7610933778945
2024-06-02,lagos,maize,3103,385.36339233504253
2024-06-03,lagos,maize,3988,361.0386925471863
2024-06-04,lagos,maize,3832,368.80283738355587
2024-06-05,lagos,maize,5222,363.1648363296174
2024-06-06,lagos,maize,3036,375.40573781669
2024-06-07,lagos,maize,4168,392.0903688506629
2024-06-08,lagos,maize,2645,373.50589797734546
2024-06-09,lagos,maize,3652,416.0016985617935
2024-06-10,lagos,maize,3712,364.2645473193629
2024-06-11,lagos,maize,3289,390.8822632688189
2024-06-12,lagos,maize,3210,373.49619220184894
2024-06-13,lagos,maize,3811,402.59928647635127
2024-06-14,lagos,maize,3494,382.26585059875356
2024-06-15,lagos,maize,5317,350.21157916770613
2024-06-16,lagos,maize,5316,357.87934808142325
2024-06-17,lagos,maize,4580,427.44520099773115
2024-06-18,lagos,maize,4613,407.7911832110261
2024-06-19,lagos,maize,2829,417.43069143709926
2024-06-20,lagos,maize,4792,391.5024075874949
2024-06-21,lagos,maize,2111,419.9789304791648
2024-06-22,lagos,maize,3105,407.086152548083
2024-06-23,lagos,maize,4340,357.3035446407513
2024-06-24,lagos,maize,3117,369.4292537546028
2024-06-25,lagos,maize,3231,384.2095894457222
2024-06-26,lagos,maize,4665,396.2838182140808
2024-06-27,lagos,maize,6131,369.9070538245723
2024-06-28,lagos,maize,3985,411.08209103338254
2024-06-29,lagos,maize,2866,367.2529083847134
2024-06-30,lagos,maize,4869,381.24996102107986
2024-07-01,lagos,maize,3483,375.3851970764466
2024-07-02,lagos,maize,4383,437.15810809284716
2024-07-03,lagos,maize,4628,404.6775219864051
2024-07-04,lagos,maize,3755,411.96063886759197
2024-07-05,lagos,maize,5114,376.5428240774789
2024-07-06,lagos,maize,2778,400.3625051346915
2024-07-07,lagos,maize,2781,403.28597888703797
2024-07-08,lagos,maize,2778,388.89333021547344
2024-07-09,lagos,maize,2634,428.8316490578899
2024-07-10,lagos,maize,3805,415.291129771388
2024-07-11,lagos,maize,4045,399.3082571168032
2024-07-12,lagos,maize,3911,430.5420988926371
